,DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Date,Time,Relative Humidity (%),Pressure (hPa),Wind speed (m/s),Wind direction,Rainfall (kg/m2)
0,2020-05-16 00:00:00,4136001,iq8k7ZNt4Mwm3w0,26.52780646666667,24.43326406666667,0.0,2020-05-16,00:00:00,81.32,995.84,3.14,319.5,0.001861
1,2020-05-16 00:15:00,4136001,iq8k7ZNt4Mwm3w0,26.687312620689653,24.52914206896552,0.0,2020-05-16,00:15:00,82.49,995.56,2.78,340.2,0.0016879999999999998
2,2020-05-16 00:30:00,4136001,iq8k7ZNt4Mwm3w0,26.63302783333333,24.688451233333332,0.0,2020-05-16,00:30:00,82.61,995.75,2.71,341.9,0.001572
3,2020-05-16 00:45:00,4136001,iq8k7ZNt4Mwm3w0,26.67657573333333,24.88044036666667,0.0,2020-05-16,00:45:00,82.31,995.95,2.67,343.56,0.0015140000000000002
4,2020-05-16 01:00:00,4136001,iq8k7ZNt4Mwm3w0,26.440455931034478,24.55380875862069,0.0,2020-05-16,01:00:00,81.59,996.17,2.68,345.11,0.001511
5,2020-05-16 01:15:00,4136001,iq8k7ZNt4Mwm3w0,26.193042,24.117222133333332,0.0,2020-05-16,01:15:00,80.87,996.38,2.69,346.66,0.001509
6,2020-05-16 01:30:00,4136001,iq8k7ZNt4Mwm3w0,26.003380103448272,23.934892206896553,0.0,2020-05-16,01:30:00,80.15,996.6,2.7,348.2,0.001507
7,2020-05-16 01:45:00,4136001,iq8k7ZNt4Mwm3w0,25.95458273333333,23.974197333333336,0.0,2020-05-16,01:45:00,78.82,996.8,2.66,348.9,0.0014089999999999999
8,2020-05-16 02:00:00,4136001,iq8k7ZNt4Mwm3w0,25.73270810344827,23.781227931034483,0.0,2020-05-16,02:00:00,76.88,996.99,2.58,348.77,0.001216
9,2020-05-16 02:15:00,4136001,iq8k7ZNt4Mwm3w0,25.415572900000004,23.33238026666667,0.0,2020-05-16,02:15:00,75.0,997.19,2.5,348.63,0.0010220000000000001
10,2020-05-16 02:30:00,4136001,iq8k7ZNt4Mwm3w0,25.19277224137931,22.96086503448276,0.0,2020-05-16,02:30:00,73.16,997.38,2.43,348.48,0.0008289999999999999
11,2020-05-16 02:45:00,4136001,iq8k7ZNt4Mwm3w0,24.890646333333336,22.694644266666664,0.0,2020-05-16,02:45:00,71.01,997.54,2.35,346.98,0.000682
12,2020-05-16 03:00:00,4136001,iq8k7ZNt4Mwm3w0,24.73890786666667,22.36363426666667,0.0,2020-05-16,03:00:00,68.57,997.68,2.28,343.99,0.000582
13,2020-05-16 03:15:00,4136001,iq8k7ZNt4Mwm3w0,24.387892137931036,22.108074344827585,0.0,2020-05-16,03:15:00,66.21,997.81,2.21,340.81,0.000481
14,2020-05-16 03:30:00,4136001,iq8k7ZNt4Mwm3w0,24.3363027,21.9420616,0.0,2020-05-16,03:30:00,63.93,997.95,2.15,337.44,0.000381
15,2020-05-16 03:45:00,4136001,iq8k7ZNt4Mwm3w0,24.443725379310347,21.88146162068965,0.0,2020-05-16,03:45:00,61.71,998.03,2.12,333.4,0.000368
16,2020-05-16 04:00:00,4136001,iq8k7ZNt4Mwm3w0,24.14510303333333,21.844980999999994,0.0,2020-05-16,04:00:00,59.57,998.06,2.12,328.8,0.000443
17,2020-05-16 04:15:00,4136001,iq8k7ZNt4Mwm3w0,23.826843103448272,21.786381275862073,0.0,2020-05-16,04:15:00,57.49,998.09,2.14,324.23,0.000517
18,2020-05-16 04:30:00,4136001,iq8k7ZNt4Mwm3w0,23.926709899999995,21.9009552,0.0,2020-05-16,04:30:00,55.48,998.13,2.16,319.75,0.000592
19,2020-05-16 04:45:00,4136001,iq8k7ZNt4Mwm3w0,23.85060433333333,21.746985866666666,0.0,2020-05-16,04:45:00,53.69,998.1,2.23,314.92,0.000552
20,2020-05-16 05:00:00,4136001,iq8k7ZNt4Mwm3w0,23.555944965517245,21.469423448275865,0.0,2020-05-16,05:00:00,52.1,998.01,2.34,309.98,0.000398
21,2020-05-16 05:15:00,4136001,iq8k7ZNt4Mwm3w0,23.608172666666665,21.290091866666668,0.0,2020-05-16,05:15:00,50.55,997.92,2.47,305.51,0.000244
22,2020-05-16 05:30:00,4136001,iq8k7ZNt4Mwm3w0,23.65812755172414,21.13980431034483,0.0,2020-05-16,05:30:00,49.05,997.83,2.61,301.51,8.9e-05
23,2020-05-16 05:45:00,4136001,iq8k7ZNt4Mwm3w0,23.752795300000002,21.5181203,0.001471635056,2020-05-16,05:45:00,47.92,997.69,2.79,297.45,1.1e-05
24,2020-05-16 06:00:00,4136001,iq8k7ZNt4Mwm3w0,24.044604566666663,22.218803,0.013038686723333331,2020-05-16,06:00:00,47.12,997.5,3.03,293.51,1e-05
25,2020-05-16 06:15:00,4136001,iq8k7ZNt4Mwm3w0,23.96737555172414,22.682919206896553,0.0351802419310345,2020-05-16,06:15:00,46.34,997.31,3.27,290.15,8e-06
26,2020-05-16 06:30:00,4136001,iq8k7ZNt4Mwm3w0,24.587146,23.915494766666665,0.06092558816666665,2020-05-16,06:30:00,45.58,997.12,3.53,287.27,6e-06
27,2020-05-16 06:45:00,4136001,iq8k7ZNt4Mwm3w0,25.354185862068967,25.459055931034484,0.08755691486206894,2020-05-16,06:45:00,45.17,996.91,3.8,284.96,7.000000000000001e-06
28,2020-05-16 07:00:00,4136001,iq8k7ZNt4Mwm3w0,25.97149146666667,27.421957399999997,0.12711576119999998,2020-05-16,07:00:00,45.09,996.68,4.08,283.12,1e-05
29,2020-05-16 07:15:00,4136001,iq8k7ZNt4Mwm3w0,26.566503000000004,28.132564206896557,0.19778686862068964,2020-05-16,07:15:00,45.01,996.45,4.37,281.53,1.3000000000000001e-05
30,2020-05-16 07:30:00,4136001,iq8k7ZNt4Mwm3w0,27.20900983333333,28.955779966666665,0.3151637090000001,2020-05-16,07:30:00,44.94,996.22,4.66,280.13,1.7e-05
31,2020-05-16 07:45:00,4136001,iq8k7ZNt4Mwm3w0,27.765504866666664,34.27935109999999,0.3058852646666667,2020-05-16,07:45:00,45.07,995.99,4.91,279.35,3.1e-05
32,2020-05-16 08:00:00,4136001,iq8k7ZNt4Mwm3w0,28.17533934482759,37.614650241379316,0.4404601989655172,2020-05-16,08:00:00,45.42,995.77,5.13,279.07,5.7999999999999994e-05
33,2020-05-16 08:15:00,4136001,iq8k7ZNt4Mwm3w0,29.1131897,42.300315966666666,0.4899591566666666,2020-05-16,08:15:00,45.76,995.55,5.34,278.82,8.499999999999999e-05
34,2020-05-16 08:30:00,4136001,iq8k7ZNt4Mwm3w0,29.58924068965517,45.436127724137926,0.5499689682758622,2020-05-16,08:30:00,46.11,995.33,5.56,278.58,0.00011100000000000001
35,2020-05-16 08:45:00,4136001,iq8k7ZNt4Mwm3w0,30.233230600000002,47.4030934,0.5789609316666666,2020-05-16,08:45:00,46.55,995.15,5.71,278.81,0.00011200000000000001
36,2020-05-16 09:00:00,4136001,iq8k7ZNt4Mwm3w0,30.441318862068968,48.825895,0.6565032462068967,2020-05-16,09:00:00,47.08,995.0,5.81,279.47,8.7e-05
37,2020-05-16 09:15:00,4136001,iq8k7ZNt4Mwm3w0,31.131299866666666,51.06770406666666,0.7055703729999999,2020-05-16,09:15:00,47.63,994.84,5.91,280.11,6.2e-05
38,2020-05-16 09:30:00,4136001,iq8k7ZNt4Mwm3w0,31.737163266666666,54.30058103333333,0.7526609196666669,2020-05-16,09:30:00,48.17,994.69,6.01,280.73,3.7e-05
39,2020-05-16 09:45:00,4136001,iq8k7ZNt4Mwm3w0,32.11526058620689,56.264713862068966,0.7908359968965515,2020-05-16,09:45:00,48.76,994.58,6.06,281.57,2.9999999999999997e-05
40,2020-05-16 10:00:00,4136001,iq8k7ZNt4Mwm3w0,32.42292273333334,56.88568100000001,0.821054863,2020-05-16,10:00:00,49.4,994.51,6.06,282.65,4.1e-05
41,2020-05-16 10:15:00,4136001,iq8k7ZNt4Mwm3w0,32.97431448275861,58.694732793103455,0.850826361724138,2020-05-16,10:15:00,50.05,994.45,6.07,283.73,5.3e-05
42,2020-05-16 10:30:00,4136001,iq8k7ZNt4Mwm3w0,33.75172126666666,59.49848046666666,0.8944378663333334,2020-05-16,10:30:00,50.7,994.38,6.08,284.8,6.4e-05
43,2020-05-16 10:45:00,4136001,iq8k7ZNt4Mwm3w0,33.87341937931035,59.907871551724135,0.8842393555172413,2020-05-16,10:45:00,51.46,994.35,6.05,285.93,7.5e-05
44,2020-05-16 11:00:00,4136001,iq8k7ZNt4Mwm3w0,34.151093499999995,61.63474146666668,0.9198567633333332,2020-05-16,11:00:00,52.33,994.35,5.99,287.14,8.7e-05
45,2020-05-16 11:15:00,4136001,iq8k7ZNt4Mwm3w0,34.83831173333333,62.84588886666666,0.930322056,2020-05-16,11:15:00,53.22,994.36,5.92,288.38,9.9e-05
46,2020-05-16 11:30:00,4136001,iq8k7ZNt4Mwm3w0,34.830906172413805,63.09209893103449,0.9810386655172416,2020-05-16,11:30:00,54.12,994.37,5.86,289.64,0.00011100000000000001
47,2020-05-16 11:45:00,4136001,iq8k7ZNt4Mwm3w0,35.47820933333332,63.82718396666666,0.9896192403333331,2020-05-16,11:45:00,55.14,994.42,5.78,290.9,0.00010800000000000001
48,2020-05-16 12:00:00,4136001,iq8k7ZNt4Mwm3w0,36.231302137931024,66.0162788275862,0.9797943403448276,2020-05-16,12:00:00,56.28,994.52,5.66,292.17,9e-05
49,2020-05-16 12:15:00,4136001,iq8k7ZNt4Mwm3w0,36.358955866666655,62.169259600000004,0.6037395006666665,2020-05-16,12:15:00,57.45,994.63,5.55,293.5,7.2e-05
50,2020-05-16 12:30:00,4136001,iq8k7ZNt4Mwm3w0,35.73488673333333,55.99414356666667,0.731962184,2020-05-16,12:30:00,58.64,994.73,5.45,294.88,5.4000000000000005e-05
51,2020-05-16 12:45:00,4136001,iq8k7ZNt4Mwm3w0,35.67410289655173,53.97351393103448,0.4870487120689655,2020-05-16,12:45:00,59.9,994.85,5.33,296.24,4.2e-05
52,2020-05-16 13:00:00,4136001,iq8k7ZNt4Mwm3w0,35.51978066666666,53.70854493333333,0.70216736,2020-05-16,13:00:00,61.24,994.98,5.19,297.58,3.7e-05
53,2020-05-16 13:15:00,4136001,iq8k7ZNt4Mwm3w0,35.95901182758621,54.6805472413793,0.6825979027586205,2020-05-16,13:15:00,62.6,995.11,5.06,298.99,3.2e-05
54,2020-05-16 13:30:00,4136001,iq8k7ZNt4Mwm3w0,36.162999766666665,57.33585800000001,0.8414354963333333,2020-05-16,13:30:00,64.0,995.24,4.93,300.48,2.7000000000000002e-05
